id	cov_0	cov_2	cov_1
S0	3.0	3.0	1.0
S1	1.0	0.0	3.0
S2	0.0	3.0	1.0
S3	2.0	2.0	1.0
S4	0.0	1.0	0.0
S5	3.0	1.0	2.0
S6	3.0	1.0	1.0
S7	0.0	0.0	1.0
S8	2.0	3.0	0.0
S9	2.0	2.0	3.0
S10	3.0	3.0	3.0
S11	2.0	3.0	1.0
S12	1.0	0.0	2.0
S13	2.0	2.0	3.0
S14	2.0	1.0	3.0
S15	3.0	3.0	1.0
S16	3.0	3.0	3.0
S17	1.0	1.0	1.0
S18	2.0	2.0	0.0
S19	0.0	2.0	1.0
S20	2.0	2.0	0.0
S21	1.0	2.0	1.0
S22	2.0	0.0	0.0
S23	0.0	0.0	3.0
S24	3.0	1.0	3.0
S25	2.0	0.0	1.0
S26	2.0	1.0	1.0
S27	0.0	2.0	3.0
S28	3.0	2.0	1.0
S29	1.0	0.0	1.0
S30	3.0	0.0	2.0
S31	2.0	3.0	3.0
S32	2.0	2.0	3.0
S33	3.0	1.0	2.0
S34	3.0	1.0	1.0
S35	1.0	3.0	1.0
S36	2.0	1.0	0.0
S37	3.0	0.0	0.0
S38	0.0	1.0	0.0
S39	1.0	0.0	3.0
S40	2.0	2.0	2.0
S41	1.0	1.0	3.0
S42	1.0	3.0	0.0
S43	2.0	1.0	0.0
S44	0.0	3.0	3.0
S45	2.0	3.0	2.0
S46	3.0	0.0	3.0
S47	2.0	0.0	2.0
S48	0.0	0.0	3.0
S49	2.0	3.0	0.0
S50	1.0	0.0	2.0
S51	0.0	3.0	0.0
S52	2.0	0.0	3.0
S53	0.0	0.0	0.0
S54	2.0	1.0	1.0
S55	3.0	2.0	1.0
S56	3.0	1.0	2.0
S57	1.0	1.0	3.0
S58	2.0	3.0	3.0
S59	2.0	1.0	1.0
S60	3.0	0.0	0.0
S61	0.0	3.0	2.0
S62	2.0	0.0	3.0
S63	0.0	1.0	2.0
S64	2.0	0.0	3.0
S65	0.0	0.0	0.0
S66	1.0	3.0	2.0
S67	1.0	3.0	0.0
S68	1.0	0.0	3.0
S69	3.0	2.0	1.0
S70	1.0	1.0	3.0
S71	3.0	1.0	2.0
S72	2.0	2.0	2.0
S73	3.0	0.0	0.0
S74	0.0	1.0	1.0
S75	2.0	2.0	1.0
S76	0.0	3.0	0.0
S77	0.0	2.0	3.0
S78	2.0	2.0	2.0
S79	2.0	1.0	0.0
S80	0.0	3.0	3.0
S81	1.0	0.0	3.0
S82	0.0	3.0	3.0
S83	3.0	1.0	3.0
S84	2.0	3.0	2.0
S85	3.0	0.0	0.0
S86	2.0	1.0	1.0
S87	0.0	3.0	0.0
S88	1.0	1.0	2.0
S89	3.0	1.0	1.0
S90	2.0	0.0	0.0
S91	1.0	3.0	2.0
S92	1.0	2.0	2.0
S93	2.0	3.0	3.0
S94	3.0	2.0	1.0
S95	0.0	0.0	1.0
S96	3.0	2.0	1.0
S97	2.0	1.0	1.0
S98	2.0	2.0	1.0
S99	1.0	1.0	2.0
S100	1.0	2.0	2.0
S101	2.0	2.0	0.0
S102	3.0	0.0	2.0
S103	2.0	2.0	3.0
S104	1.0	1.0	3.0
S105	2.0	0.0	1.0
S106	2.0	0.0	1.0
S107	0.0	1.0	1.0
S108	2.0	1.0	2.0
S109	3.0	3.0	3.0
S110	2.0	0.0	1.0
S111	1.0	3.0	3.0
S112	3.0	1.0	3.0
S113	3.0	2.0	1.0
S114	0.0	3.0	0.0
S115	2.0	2.0	0.0
S116	3.0	2.0	3.0
S117	2.0	0.0	1.0
S118	1.0	0.0	0.0
