s	scores
HG00096	[0.07947715905978754,-0.24285336304993468,0.02442951970759482,0.0885528179948839,-0.011369137699248558,-0.060529483723979365,0.032967731747670904,0.0020585177774023284,-0.0028322479782078064,0.0019273361083860996,0.0037948720150798947,-0.009179594532289918,0.007499108326769452,-0.010452840669570078,0.005295256371816823,-0.004277382072129954,0.004445675440771896,0.014823969424191515,-0.003561489064861683,-0.01275890475811418]
HG00097	[0.07571445970527464,-0.2516484238911256,0.015173460272336577,0.09207939765241405,-0.018485710041578226,-0.058154984897473554,0.023388090915822137,0.003319114287013876,-0.004523943003271794,-0.004720293233224361,0.010501904048155418,0.005204529102862409,0.0028326759852363155,3.757152306209251E-4,0.004717402443226222,-0.015369958625210725,0.0027925932648239305,0.019948341497503217,6.709952455782993E-4,-0.005173166524698357]
HG00099	[0.07142800527863927,-0.24318816031153467,0.0309526467044871,0.08618449392337689,-0.0070526163532012446,-0.05731826650298374,0.0297934944968932,0.0029549055770296505,6.769771908128159E-4,-0.0012092077907522127,0.01136115465278476,-0.004359844995622366,9.955365018323328E-4,-0.006732262401772505,0.0013165390874622953,-0.004907282401537793,-0.0027604544498707746,3.4443545136687257E-4,0.001447722256795397,-0.0028074180897170132]
HG00100	[0.06905308490580823,-0.25119363354283214,0.023240211083861893,0.08838972981756084,-0.006216843774665547,-0.03996027972387218,0.03184332529358111,-0.0010307166873453912,0.010494620797952376,7.388360794477036E-4,0.01860857405290254,0.007354893171576005,-0.004257075676297028,-0.0024425725897101037,-0.004142245541693243,-0.0027892534670111322,0.012366044714628842,0.010065531193693763,0.0017856400361245402,-0.0015823224289581142]
HG00101	[0.07196229510990712,-0.2469334228940912,0.027478163693736877,0.09628530848279293,-0.005185540111321803,-0.05608704835551708,0.0295860440782935,-0.00394195230470409,-0.0065414363595569175,0.001863224841071964,0.012225018670855223,7.978277397714521E-4,-0.0027696490558573664,-0.010470243211923217,0.0046140429872182295,-0.0031625031536127073,-0.0015579476619753947,0.012580328114124299,-0.0010432017287185025,0.0023777752357295027]
HG00102	[0.0767348185558278,-0.24507613373435783,0.025430392298255333,0.08679277294188004,-0.008438647653091677,-0.07054232889469048,0.036333272436885736,0.008270319853499334,-0.003829276486825207,-0.004780661306788734,0.02345414209345137,0.0034852759516713658,-0.0026600972899737695,-5.68975693451374E-4,0.007199236700805364,-0.010217285656522796,0.008240820992928806,0.0021321842432138753,0.007654500312078575,-0.009420471226031816]
HG00103	[0.0741616162345523,-0.23940624910955363,0.017595204391939758,0.09391274587100062,-0.006285395723325178,-0.050370437266993584,0.03766287172844127,-0.0015299995349921842,0.010377183331656886,-0.006530905734958509,0.014903425932807265,-0.0016707402942368731,0.003485980105273615,-0.0061306713820713146,0.004748912764435323,0.002332932169534929,0.001833640278083629,0.014766724304886458,0.011389611776981383,0.006924336220884403]
HG00105	[0.07333131900250095,-0.24589661282609712,0.02368865760063068,0.0877908404446467,-0.013685842668159195,-0.05434901673931587,0.035997936966669065,0.00749559506383212,0.004259467390072654,-0.011453723987711852,0.015265020944054417,-0.0032520613176636073,-2.1527141315020196E-4,2.5023462874393617E-5,0.0017498628866774208,0.004996778139104278,-3.254181923206986E-4,0.011371594609799479,-0.008139789208992228,0.006873864239828206]
HG00106	[0.0819727333918156,-0.24833941927899905,0.0235782354765619,0.08478528818319112,-0.011899846084356677,-0.05162058994290537,0.037423980271897764,0.007909751353318338,-0.0029921115975469433,-5.005152223936849E-4,0.005697793627108993,-0.003324765911010807,-0.0032178166770773977,-0.012944460451752723,0.01027152435736996,-0.002152710626254759,0.013326144113571293,0.015428412710255131,-0.002668633590810285,-0.0033623095148200533]
HG00107	[0.07743920317219594,-0.24471505874715554,0.024749502448739483,0.09334785634649861,-0.012707607485444356,-0.05000033288802761,0.03544523181487621,0.002130570906732868,-0.0036383727138154178,-0.0018701036625611855,0.004786014959661687,-0.0042438290410899675,0.01154476310273322,0.007921049760108514,0.005102630608776287,-0.005790452020596344,0.012299229301978219,0.016752717092069543,-0.006894097665468743,-0.006949965378556945]
